Time [s],Channel 0,Channel 1
0.126548167,1,1
0.126548250,1,0
0.126548333,1,1
0.126548417,1,0
0.126548500,1,1
0.126548583,1,0
0.126548750,1,1
0.126548917,1,0
0.126549000,1,1
0.126549083,1,0
0.126549250,1,1
0.126549333,1,0
0.126549417,1,1
0.126549500,1,0
0.126549583,1,1
0.126549750,1,0
0.126549833,1,1
0.126549917,1,0
0.126550000,1,1
0.126550083,1,0
0.126550167,1,1
0.126550250,1,0
0.126550417,1,1
0.126550583,1,0
0.126550750,1,1
0.126550833,1,0
0.126550917,1,1
0.126551000,0,0
0.126551083,0,1
0.126551167,0,0
0.126551250,0,1
0.126551417,0,0
0.126551583,0,1
0.126551667,0,0
0.126551750,0,1
0.126551833,0,0
0.126551917,0,1
0.126552000,0,0
0.126552083,0,1
0.126552250,0,0
0.126552333,0,1
0.126552417,0,0
0.126552500,0,1
0.126552583,0,0
0.126552667,0,1
0.126552833,0,0
0.126552917,0,1
0.126553083,0,0
0.126553250,0,1
0.126553583,0,0
0.126553667,0,1
0.126553833,0,0
0.126553917,0,1
0.126554083,0,0
0.126554167,0,1
0.126554250,0,0
0.126554417,0,1
0.126554500,0,0
0.126554583,0,1
0.126554750,0,0
0.126554833,0,1
0.126554917,0,0
0.126555083,0,1
0.126555167,0,0
0.126555250,0,1
0.126555417,0,0
0.126555500,0,1
0.126555583,0,0
0.126555750,0,1
0.126555917,0,0
0.126556000,0,1
0.126556083,0,0
0.126556250,0,1
0.126556417,0,0
0.126556583,0,1
0.126556750,0,0
0.126556833,0,1
0.126556917,0,0
0.126557000,0,1
0.126557083,0,0
0.126557167,0,1
0.126557250,0,0
0.126557333,0,1
0.126557417,0,0
0.126557583,0,1
0.126557750,0,0
0.126557833,0,1
0.126557917,0,0
0.126558000,0,1
0.126558083,0,0
0.126558250,0,1
0.126558417,0,0
0.126558583,0,1
0.126558750,0,0
0.126558833,0,1
0.126558917,0,0
0.126559000,0,1
0.126559083,0,0
0.126559250,0,1
0.126559417,0,0
0.126559500,0,1
0.126559583,0,0
0.126559750,0,1
0.126559917,0,0
0.126560083,0,1
0.126560250,0,0
0.126560417,0,1
0.126560500,0,0
0.126560583,0,1
0.126560750,0,0
0.126560833,0,1
0.126560917,0,0
0.126561000,0,1
0.126561083,0,0
0.126561167,0,1
0.126561250,0,0
0.126561417,0,1
0.126561500,0,0
0.126561583,0,1
0.126561750,0,0
0.126561833,0,1
0.126561917,0,0
0.126562000,0,1
0.126562083,0,0
0.126562250,0,1
0.126562333,0,0
0.126562417,0,1
0.126562583,0,0
0.126562667,0,1
0.126562750,0,0
0.126562917,0,1
0.126563083,0,0
0.126563167,0,1
0.126563250,0,0
0.126563417,0,1
0.126563500,0,0
0.126563583,0,1
0.126563667,0,0
0.126563750,0,1
0.126563917,0,0
0.126564000,0,1
0.126564083,0,0
0.126564167,0,1
0.126564250,0,0
0.126564417,0,1
0.126564583,0,0
0.126564750,0,1
0.126564833,0,0
0.126564917,0,1
0.126565083,0,0
0.126565250,0,1
0.126565417,0,0
0.126565583,0,1
0.126565750,0,0
0.126565833,0,1
0.126565917,0,0
0.126566000,0,1
0.126566083,0,0
0.126566167,0,1
0.126566250,0,0
0.126566333,0,1
0.126566417,0,0
0.126566583,0,1
0.126566750,0,0
0.126566917,0,1
0.126567000,0,0
0.126567083,0,1
0.126567250,0,0
0.126567417,0,1
0.126567500,0,0
0.126567583,0,1
0.126567667,0,0
0.126567750,0,1
0.126567917,0,0
0.126568083,0,1
0.126568167,0,0
0.126568250,0,1
0.126568417,0,0
